PK	NOMBRE	DESCRIPCION-ENTIDAD	HORARIO	EQUIPAMIENTO	TRANSPORTE	DESCRIPCION	ACCESIBILIDAD	CONTENT-URL	NOMBRE-VIA	CLASE-VIAL	TIPO-NUM	NUM	PLANTA	PUERTA	ESCALERAS	ORIENTACION	LOCALIDAD	PROVINCIA	CODIGO-POSTAL	BARRIO	DISTRITO	COORDENADA-X	COORDENADA-Y	LATITUD	LONGITUD	TELEFONO	FAX	EMAIL	TIPO	
2067	Museo Africano Misioneros Combonianos		Grupos con cita previa en el tel�fono 914 152 412 o en la web: de lunes a viernes de 9:30 a 13:30 horas.  Individuales: Visitas guiadas sin cita previa los domingos a las 11:30 horas.		Bus: 11, 70, 114, 122, 115, 200.		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6ab8ef4d7f71c010VgnVCM1000000b205a0aRCRD	ARTURO SORIA	CALLE	V	101					MADRID	MADRID	28043	SAN JUAN BAUTISTA	CIUDAD LINEAL	444755	4477849	40.449464654033605	-3.65149172790308	914 152 412			/contenido/entidadesYorganismos/Museos	 
2050	Museo Arqueol�gico Nacional	Fundado en 1867, el MAN se inaugur� en 1895 en su actual sede, en el Palacio de Biblioteca y Museos, edificio proyectado por Francisco Jare�o y terminado por Antonio Ruiz de Salces.	De martes a s�bados de 9:30 a 20 horas. Domingos y festivos de 9:30 a 15 horas.   Cerrado   Todos los lunes del a�o. 1 y 6 de enero, 1 y 15 de mayo,  24, 25 y 31 de diciembre.  M�s informaci�n horarios		Metro: Serrano (l�nea 4)  Bus: 1, 9, 19, 51, 74, 5, 14, 27, 45, 53, 150  Cercan�as Renfe: Recoletos (l�nea C1, C2, C7, C-10 y Regional)  Bicimad: Estaci�n 95 (calle Claudio Coello 109)  Aparcamiento: Col�n (2), Plaza de Col�n s/n		1	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fd8ef4d7f71c010VgnVCM1000000b205a0aRCRD	SERRANO	CALLE	V	13					MADRID	MADRID	28001	RECOLETOS	SALAMANCA	441601	4474966	40.42327763947072	-3.688418705931963	915 777 912			/contenido/entidadesYorganismos/Museos	 
2072	Museo Casa de la Moneda		De martes a viernes ininterrumpidamente de 10 a 20. S�bados, domingos y festivos de 10 a 14:15 horas. Cerrado los lunes (incluidos festivos), y los d�as 1 de enero;  1 y 2 de mayo;  24, 25 y 31 de diciembre.		Metro: O&amp;acute;Donnell (l�nea 6), Goya (l�neas 2, 4)  Bus: 143, 2, 30, 56, 71, C2, 28  Bicimad: Estaci�n 101 (calle Jorge Juan, 131).		1,4	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=12f8ef4d7f71c010VgnVCM1000000b205a0aRCRD	DOCTOR ESQUERDO	CALLE	V	36					MADRID	MADRID	28028	GOYA	SALAMANCA	443235	4474878	40.42259797372905	-3.6691502061733674	915 666 544	915 666 809	museocasadelamoneda@fnmt.es	/contenido/entidadesYorganismos/Museos	 
4112	Museo Cerralbo	Este Palacio, construido entre 1883 y 1893, fue concebido como vivienda y como museo para sede de las obras de arte reunidas por los Marqueses de Cerralbo y sus hijos, los Marqueses de Villa Huerta, durante los numerosos viajes que realizaron por Espa�a y Europa.	De martes a s�bado de 9:30 a 15 horas. Jueves, apertura extraordinaria por la tarde, de 17 a 20 horas, excepto festivos. Entrada gratuita. Domingos y festivos de 10 a 15 horas. Cerrado: todos los lunes, 1 y 6 de enero, 1 de mayo, 24, 25 y 31 de diciembre, una fiesta local.		Metro: Plaza de Espa�a (l�neas 3, 10), Pr�ncipe P�o (l�neas 6 y 10)  Bus: 62, 74.  Cercan�as Renfe: Pr�ncipe Pio (l�neas C1, C7 Y C10).  Bicimad: Estaci�n 14 (calle Ventura Rodr�guez, 2).		2,6	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a4efb0c40971c010VgnVCM1000000b205a0aRCRD	VENTURA RODRIGUEZ	CALLE	V	17					MADRID	MADRID	28008	ARGUELLES	MONCLOA-ARAVACA	439380	4475039	40.42376732078657	-3.7146170388153497	915 473 646 / 915 473 647	915 591 171	museo.cerralbo@cultura.gob.es	/contenido/entidadesYorganismos/Museos	 
10091450	Museo EMT	El Museo de la EMT se ha convertido en realidad tras una d�cada de duro trabajo de recuperaci�n, restauraci�n y reparaci�n del patrimonio hist�rico de la Empresa Municipal de Transportes de Madrid, especialmente, material m�vil, mobiliario, piezas mec�nicas, maquinaria y otros elementos inherentes a la actividad de la EMT en sus 70 a�os de historia.	Visitas (con cita previa)  Apertura estacional durante seis meses al a�o: todos los s�bados de abril, mayo, junio, julio, septiembre y octubre), a las 10, a las 11:30 y a las 13 horas. Por ser un centro de trabajo �nicamente pueden realizarse de forma organizada, previamente concertadas y limitadas a un m�ximo de 40 personas por turno. Duraci�n: 60 minutos aproximadamente. Compra de entradas y reserva de horarios a trav�s de la web: http://tienda.emtmadrid.es (a partir del 1 de marzo de 2018).	Si tiene una discapacidad f�sica o sensorial, contacta con el Museo antes de reservar la visita y le informar�n de la accesibilidad a la instalaci�n.	Metro: Bego�a (l�nea 10). Bus: 66, 173, 174, 176, 191, 193, 194, 195, 196, 197, 712, 713, 714, 716, L171.		0	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d56ad05b2a255510VgnVCM2000001f4a900aRCRD	MAURICIO LEGENDRE	CALLE	V	40					MADRID	MADRID	28046	CASTILLA	CHAMARTIN	442096	4481278	40.480173612860305	-3.6831595451893273	914 068 810			/contenido/entidadesYorganismos/AyuntamientoMadrid/OrganismosEmpresasMunicipales	 
10237457	Museo F�lix Ca�ada	Una selecci�n de m�s de quinientas obras de arte de entre las cerca de mil de la donaci�n original, constituyen la Colecci�n Permanente que se puede visitar en las salas del Museo F�lix Ca�ada de la Fundaci�n G�mez Pardo, adscrita a la Escuela T�cnica Superior de Ingenieros de Minas y Energ�a de la Universidad Polit�cnica de Madrid. Donada por el ingeniero de minas Doctor F�lix Ca�ada Guerrero a la Fundaci�n G�mez Pardo, re�ne una amplia representaci�n de trabajos de destacados artistas, pintores, escultores, ilustradores, grabadores, orfebres, ceramistas, etc. abarcando diferentes periodos desde el siglo XI hasta nuestros d�as.	Lunes, mi�rcoles y viernes, de 10 a 13 horas, previa solicitud descargando el impreso en formato PDF y enviarlo cumplimentado a museo@fgomezpardo.es o bien mediante fax al 91 442 95 29. .		Metro: Rios Rosas (l�nea 1).  Bus: 45, 12, 149, 3, 37.  Bicimad: Estaci�n 130 (calle Santa Engracia, 127).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb22820a52799510VgnVCM1000001d4a900aRCRD	ALENZA	CALLE	V	1					MADRID	MADRID	28003	RIOS ROSAS	CHAMBERI	440568	4477117	40.442581673356834	-3.700796192332983	914 417 921	914 729 529	museo@fgomezpardo.es	/contenido/entidadesYorganismos/Museos	 
2074	Museo Geominero	Los objetivos del Museo Geominero son conservar, investigar y difundir la riqueza y diversidad del patrimonio geol�gico, paleontol�gico y mineral�gico a trav�s de las importantes colecciones de minerales, rocas y f�siles procedentes de todas las regiones espa�olas y de antiguos territorios coloniales, as� como de yacimientos significados del registro mundial	De lunes a domingo y festivos de 9 a 14 horas. Cerrado los d�as 1 y 6 de enero y 24, 25 y 31 de diciembre.		Metro: R�os Rosas (l�nea 1) y Alonso Cano (l�nea 7).  Bus: 45, 12, 149, 3, 37, 5.  Bicimad: Estaci�n 130 (calle Santa Engracia, 127).		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff0bef4d7f71c010VgnVCM1000000b205a0aRCRD	RIOS ROSAS	CALLE	V	23					MADRID	MADRID	28003	RIOS ROSAS	CHAMBERI	440663	4477057	40.442047952073665	-3.699670468881422	913 495 759		m.geominero@igme.es	/contenido/entidadesYorganismos/Museos	 
2075	Museo Hist�rico Minero Don Felipe de Borb�n y Grecia	Ubicado en la Escuela T�cnica Superior de Ingenieros de Minas de Madrid	De lunes a viernes, de 9 a 14 horas.		Metro: R�os Rosas (l�nea 1)  Bus: 3, 12, 37, 45, 149  Bicimad: Estaci�n 130 (calle Santa Engracia, 127)		3	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=822bef4d7f71c010VgnVCM1000000b205a0aRCRD	RIOS ROSAS	CALLE	V	21					MADRID	MADRID	28003	RIOS ROSAS	CHAMBERI	440603	4477062	40.44207963042673	-3.7003900716027776	913 367 017			/contenido/entidadesYorganismos/Museos	 
18176	Museo ICO		De martes a s�bados: de 11 a 20 horas.   Domingos y festivos: de 10 a 14 horas.    Cerrado: Todos los lunes del a�o.   Horarios especiales: 24 y 31 de diciembre de 10 a 14 horas. 1 de mayo y 25 de diciembre cerrado.		Metro: Sevilla (l�nea 2).  Bus: 53, 15, 20, M1, 150, 5, 46, 52.  BICIMAD: estaci�n 28 (calle Alcal�, 27).		1	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2886444a2951c010VgnVCM2000000c205a0aRCRD	ZORRILLA	CALLE	V	3					MADRID	MADRID	28014	CORTES	CENTRO	440806	4474249	40.41675330128869	-3.6977346235068373	914 201 242		museoico@ico.es	/contenido/entidadesYorganismos/Museos	 
6019032	Museo Los Ca�os del Peral. Estaci�n de Metro �pera	La estaci�n de �pera cuenta con el mayor museo arqueol�gico bajo tierra de Madrid, un espacio de 200 m2 donde se pueden ver restos arqueol�gicos de los siglos XVI y XVII pertenecientes a la Fuente de los Ca�os del Peral, el Acueducto de Amaniel y la Alcantarilla del Arenal.	Previa reserva en la p�gina museosmetromadrid.es.  Viernes: de 16:00 a 20:00 horas. S�bados: de 10:00 a 14:00 horas y de 16:00 a 20:00 horas. Domingos: de 10:00 a 14:00 horas.		Metro: �pera (l�neas 2, 5 y Ramal).   Bicimad: Estaci�n 24 (calle Carlos III, 1).    Aparcamiento: Descalzas (20), plaza Descalzas y plaza San Mart�n.		1	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=435950262d50f210VgnVCM2000000c205a0aRCRD	ISABEL II	PLAZA	V	1					MADRID	MADRID	28013	PALACIO	CENTRO	439834	4474367	40.41775560280743	-3.709202070089538				/contenido/entidadesYorganismos/Museos	 
2053	Museo L�zaro Galdiano		Martes a domingo, de 9:30 a 15 horas. Lunes cerrado.		Metro: Gregorio Mara��n (l�nea 7 y 10)  Bus: 12, 16, 9, 19, 51, 61		1	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7d1aef4d7f71c010VgnVCM1000000b205a0aRCRD	SERRANO	CALLE	V	122					MADRID	MADRID	28006	CASTELLANA	SALAMANCA	441802	4476460	40.436750328725985	-3.6861980129207894	915 616 084	915 617 793		/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos	 
5349304	Museo Nacional Centro de Arte Reina Sof�a (MNCARS)	Edificio Sabatini: calle Santa Isabel 52.  Edificio Nouvel (ampliaci�n): ronda de Atocha, esquina a plaza del Emperador Carlos V.  Espacios en el parque del Retiro: Palacio de Vel�zquez y Palacio de Cristal.	Lunes y de mi�rcoles a s�bado, de 10 a 20 horas. Martes cerrado (incluso festivos). Domingos de 10 a 14:30 horas.  Cerrado: 1 y 6 enero, 1 y 15 mayo, 9 noviembre, 24, 25 y 31 diciembre.		Metro: Estaci�n del Arte (Atocha) (l�nea 1)  Bus: 27, 34, C03, C1, 26, 32, 6, 59, 85, E1, C2, 119, 36, 41, 001, 10, 14, 37, 45  Cercan�as Renfe: Atocha (l�neas C1, C2, C3, C4, C5, C7, C8, C10)  Bicimad: Estaci�n 50 (calle Santa Isabel, 57) / Estaci�n 51 (Ronda de Atocha, 2)  Parking: S�nchez Bustillo (37), C/ S�nchez Bustillo		1	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=69d8275bad5a1210VgnVCM2000000c205a0aRCRD	SANTA ISABEL	CALLE	V	52					MADRID	MADRID	28012	EMBAJADORES	CENTRO	441112	4473334	40.40854131574014	-3.6940316511856017	917 741 000 / 917 911 330 (Centro atenci�n visitante)		museoreinasofia@clorian.com	/contenido/entidadesYorganismos/Museos	 
2099	Museo Nacional Thyssen-Bornemisza	El palacio donde se ubica la colecci�n fue el antiguo palacio del duque de Villahermosa. Edificaci�n neocl�sica. Posteriormente se adapta como entidad bancaria perdiento sus espacios interiores. M�s tarde, pas� a formar parte de los edificios del Museo del Prado. Desde principios de los 90 alberga la Colecci�n Thyssen. El museo ofrece un recorrido por la historia de la pintura europea desde sus inicios en el siglo XIII, hasta finales del siglo XX.	Colecciones permanentes:  lunes de 12 a 16 horas (acceso gratuito gracias al patrocinio de MasterCard). Martes a domingos de 10 a 19 horas.   Exposiciones temporales: consultar horario espec�fico en Museo.  Avisos y aperturas extraordinarias: los d�as 1 de enero, 1 de mayo y 25 de diciembre el Museo permanecer� cerrado. El 24 y el 31 de diciembre el horario de apertura del Museo ser� de 10 a 15 horas.		Metro: Banco de Espa�a (l�nea 2)  Bus: 10, 14, 27, 34, 37, 45, C03  Cercan�as Renfe: Recoletos  Bicimad: Estaci�n 27 (calle Jes�s, 1) / Estaci�n 29 (calle Marqu�s de Cubas, 25)  Parking: Cortes (46), Plaza de las Cortes	Arquitecto: Antonio L�pez Aguado (1805 - 1806)  Adecuaci�n: Rafael Moneo (1989 - 1992)  Ampliaci�n: BOPBAA (1999 - 2004)	1	http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0b8079262ef5d010VgnVCM1000000b205a0aRCRD	PRADO	PASEO	V	8					MADRID	MADRID	28014	CORTES	CENTRO	441058	4474164	40.41600553697803	-3.694744831131079	917 911 370		cav@museothyssen.org	/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos	 
